id,seen,notificationType,createdAt,updatedAt,UserToId,UserFromId,PostId
1,False,1,2024-06-10 13:00:19.015935+00:00,2024-06-10 13:00:19.015935+00:00,150.0,29,170.0
2,False,1,2024-06-10 13:00:19.622555+00:00,2024-06-10 13:00:19.622555+00:00,227.0,29,122.0
3,False,1,2024-06-10 13:00:19.991906+00:00,2024-06-10 13:00:19.991906+00:00,14.0,336,444.0
4,False,1,2024-06-10 13:00:20.212235+00:00,2024-06-10 13:00:20.212235+00:00,171.0,29,627.0
5,False,1,2024-06-10 13:00:20.602029+00:00,2024-06-10 13:00:20.602029+00:00,153.0,336,221.0
6,False,1,2024-06-10 13:00:20.816754+00:00,2024-06-10 13:00:20.816754+00:00,176.0,339,1194.0
7,False,1,2024-06-10 13:00:21.212485+00:00,2024-06-10 13:00:21.212485+00:00,328.0,336,742.0
8,False,1,2024-06-10 13:00:21.412693+00:00,2024-06-10 13:00:21.412693+00:00,204.0,339,474.0
9,False,1,2024-06-10 13:00:21.812449+00:00,2024-06-10 13:00:21.812449+00:00,239.0,336,467.0
10,False,1,2024-06-10 13:00:21.996413+00:00,2024-06-10 13:00:21.996413+00:00,35.0,339,3.0
11,False,1,2024-06-10 13:00:22.444078+00:00,2024-06-10 13:00:22.444078+00:00,295.0,336,1120.0
12,False,1,2024-06-10 13:00:23.059745+00:00,2024-06-10 13:00:23.059745+00:00,255.0,374,23.0
13,False,1,2024-06-10 13:00:23.662679+00:00,2024-06-10 13:00:23.662679+00:00,124.0,374,408.0
14,False,1,2024-06-10 13:00:24.269808+00:00,2024-06-10 13:00:24.269808+00:00,247.0,374,773.0
15,False,1,2024-06-10 13:00:24.866736+00:00,2024-06-10 13:00:24.866736+00:00,133.0,374,216.0
16,False,1,2024-06-10 13:00:25.467092+00:00,2024-06-10 13:00:25.467092+00:00,140.0,374,1219.0
17,False,1,2024-06-10 13:00:26.517512+00:00,2024-06-10 13:00:26.517512+00:00,58.0,350,275.0
18,False,1,2024-06-10 13:00:27.111200+00:00,2024-06-10 13:00:27.111200+00:00,303.0,350,149.0
